id,yrday0_gmt,lat_start,lon_start,btm_depth_start,start_date,drogue_depth_start,drogue_depth_end,droguedia,project,institute,pi,vessel,type,manufacturer,communication,accuracy,sn,yeardays,notes ,,,,,,,,,,,,,,,,,,,,,
170380751,nan,3752.57,7524.85,nan,nan,0,-0.4,0.2,null,UMARYLAND,Meng,,Mini,UMARYLAND,GLOBALSTAR,null,1351445,nan,170380751 came ashore a few days later near Metompkin Bay,,,,,,,,,,,,,,,,,,,,,
170380753,nan,3752.64,7524.63,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352502,nan,170380753 came ashore a few days later near Metompkin Bay,,,,,,,,,,,,,,,,,,,,,
170380754,nan,3753.12,7524.72,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352503,nan,170380754 came ashore a few days later near Metompkin Bay,,,,,,,,,,,,,,,,,,,,,
170380755,nan,3752.45,7524.38,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352491,nan,170410703  Monomoy unit headed west,,,,,,,,,,,,,,,,,,,,,
170380756,nan,3806.46,7515,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352502,nan,170380756 ashore four days later in a swampy shoreline of Cedartown,,,,,,,,,,,,,,,,,,,,,
170380757,nan,3819.4,7505.14,nan,nan,0,-0.4,0.2,null,UMARYLAND,Meng,,Mini,UMARYLAND,GLOBALSTAR,null,1351445,nan,,,,,,,,,,,,,,,,,,,,,,
170380758,nan,3822.07,7505.63,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352491,nan,,,,,,,,,,,,,,,,,,,,,,
170380759,nan,3818.91,7504.98,nan,nan,0,-0.4,0.2,null,UMaryland,Meng,,Mini,UMaryland,GLOBALSTAR,null,1352503,nan,,,,,,,,,,,,,,,,,,,,,,
170410701,nan,4147.1,7016.87,nan,nan,-0.5,-1.5,1,null,Nauset,Bourque,,Irina,Nauset,GLOBALSTAR,null,1348283,nan,170410701 Nauset High  unit headed west,,,,,,,,,,,,,,,,,,,,,
170410702,nan,4148.19,7018.07,nan,nan,-0.5,-1.5,1,null,Nauset,Bourgue,,Irina,Nauset,GLOBALSTAR,null,1348290,nan,170410702 Nauset High unit headed west,,,,,,,,,,,,,,,,,,,,,
170410703,nan,4151.17,7016.46,nan,nan,-0.5,-1.5,1,null,WBWS_Monomoy_High,Bourque,,Irina,WBWS_Monomoy_High,GLOBALSTAR,null,1352485,nan,170410703  Monomoy unit headed west,,,,,,,,,,,,,,,,,,,,,
170410704,nan,4151.39,7018.06,nan,nan,-0.5,-1.5,1,null,Nauset,Bourgue,,Irina,Nauset,GLOBALSTAR,null,1350906,nan,,,,,,,,,,,,,,,,,,,,,,
170410721,nan,4110.25,7306.85,nan,nan,0,-0.5,0.25,null,UCONN,Jia,???,Bucket,UCONN,GLOBALSTAR,null,1348285,nan,170410721 ashore at Stratford Pt next morning,,,,,,,,,,,,,,,,,,,,,
170410722,nan,4110.21,7306.64,nan,nan,0,-0.5,0.25,null,UCONN,Jia,???,Bucket,UCONN,GLOBALSTAR,null,1369240,nan,,,,,,,,,,,,,,,,,,,,,,
170410723,nan,4110.05,7306.4,nan,nan,0,-0.5,0.25,null,UCONN,Jia,???,Bucket,UCONN,GLOBALSTAR,null,1369175,nan,,,,,,,,,,,,,,,,,,,,,,
170410724,nan,4110.25,7306.85,nan,nan,0,-0.5,0.25,null,UCONN,Jia,???,Bucket,UCONN,GLOBALSTAR,null,1348416,nan,170410724 headed NE outside the mouth and came ashore in Woodmont on Oct 8,,,,,,,,,,,,,,,,,,,,,
170410725,nan,4109.91,7306.25,nan,nan,0,-0.5,0.25,null,UCONN,Jia,,Bucket,UCONN,GLOBALSTAR,null,1369977,nan,170410725 aground in remote mid-river island,,,,,,,,,,,,,,,,,,,,,
170410727,nan,4053.44,7345.32,nan,nan,0,-0.5,0.25,null,UCONN,Jia,Housatonic Marine Services & Gas Dock,Bucket,UCONN,GLOBALSTAR,null,1369240,nan,170410727 ...,,,,,,,,,,,,,,,,,,,,,
