,0
0,126410701
1,1904107010
2,129420804
3,1904107012
4,1904107013
5,1904107016
6,19912202
7,1904107018
8,1904107019
9,196430861
10,119410701
11,20005391
12,119410702
13,199450641
14,115420691
15,148190741
16,148190742
17,159290901
18,147420701
19,147420702
20,147420703
21,187420704
22,147420704
23,147420705
24,147420706
25,147420708
26,107420701
27,167430701
28,135430702
29,145600049
30,120290883
31,184390731
32,117430861
33,117430862
34,117430863
35,117430864
36,117430865
37,117430866
38,108440671
39,196440671
40,116420705
41,116420706
42,116420707
43,116420708
44,108440677
45,108440678
46,108440679
47,100420711
48,100420712
49,116420709
50,196440674
51,116440675
52,148420727
53,148420728
54,199410811
55,199410812
56,199410813
57,117400701
58,193410691
59,193410693
60,153410701
61,110340761
62,117380762
63,117440671
64,117440672
65,117440673
66,117440674
67,117440675
68,117440676
69,117440677
70,117440678
71,197440671
72,197440672
73,197440673
74,197440674
75,197440675
76,130120371
77,100440672
78,170410701
79,170410702
80,170410703
81,170410704
82,114410701
83,146410702
84,146410703
85,106410701
86,178410701
87,178410702
88,159450843
89,174420701
90,150420704
91,118440678
92,170430701
93,170430702
94,114430701
95,146430701
96,1604107010
97,125420803
98,1404107011
99,165390091
100,115410701
101,115410702
102,1604107022
103,1604107023
104,175440662
105,175420702
106,176400671
107,176400672
108,176400673
109,175420703
110,175420704
111,1474207010
112,1474207011
113,1474207012
114,1474207013
115,1674207013
116,163430701
117,115430701
118,116440671
119,110420811
120,196390731
121,116410701
122,116410702
123,116410703
124,148410701
125,176440661
126,176440662
127,176440663
128,176440664
129,176440665
130,196410711
131,168420701
132,168420702
133,168420703
134,144420702
135,160420703
136,176420701
137,176420702
138,176420703
139,176420704
140,196410721
141,148410729
142,180430701
143,196440672
144,196440673
145,117410702
146,85391
147,85392
148,177440661
149,177440662
150,177440663
151,177440664
152,177440665
153,197430681
154,193420701
155,193420702
156,185420704
157,177420704
158,1604207010
159,1604207011
160,1604207012
161,1484207010
162,198390691
163,149410725
164,177420705
165,105440681
166,117430691
167,177420707
168,19915203
169,1484107210
170,118410701
171,118410702
172,118410703
173,118410704
174,190410701
175,190410702
176,190410705
177,190410708
178,178440661
179,178440662
180,178440663
181,119330771
182,147430865
183,116440672
184,116440673
185,186420701
186,170420702
187,130420702
188,130420703
189,146420701
190,146420702
191,146420703
192,146420704
193,146420706
194,178420708
195,116440674
196,150430701
197,150430702
198,150430703
199,150430704
200,150430705
201,150430706
202,110430704
203,157440672
204,157440673
205,90111
