,ID,LAT_START,LON_START,BTM_DEPTH_START,START_DATE,DROGUE_DEPTH_START,DROGUE_DEPTH_END,DEPLOYER,COMMUNICATION,TYPE,MANUFACTURER,INSTITUTE,PROJECT,DISTANCE,NDAYS,NOTES,SN,ACCURACY,DROGUEDIA,YRDAY0_GMT,END_DATE	,LAT_END,LON_END	,PI,VESSEL
0,170420702,36.4826,-45.2709,,2017-10-19T01:59:00Z,,,,GLOBALSTAR,Irina,LEAP,LEAP,,,,,1358464,1,1,,2019-09-18T03:40:00Z,,,Wilkins,
1,1674207013,42.4921,-70.8198,,2017-07-13T19:26:00Z,,,,GLOBALSTAR,Irina,LEAP,LEAP,,,,,1368780,1,1,,2017-07-15T18:38:00Z,,,Wilkins,
2,184390731,42.5652,-43.4987,,2018-04-18T02:23:00Z,,,,GLOBALSTAR,Irina,STOCKTON,STOCKTON,,,,,1366709,1,1,,2019-04-09T23:36:00Z,,,Pfeiffer-Herbert,
3,185420704,42.5316,-70.8397,,2018-05-16T23:52:00Z,,,,GLOBALSTAR,Irina,SSCW,SSCW,,,,,1367080,1,1,,2018-05-18T23:53:00Z,,,Flaherty,
4,186420701,38.5749,-66.9764,,2018-05-29T20:42:00Z,,,,GLOBALSTAR,Irina,SSCW,SSCW,,,,,1367080,1,1,,2019-04-04T06:19:00Z,,,Flaherty,
5,187420704,42.5283,-70.7733,,2018-07-24T18:58:00Z,,,,GLOBALSTAR,Irina,SSCW,SSCW,,,,,1329014,1,1,,2018-07-26T11:31:00Z,,,Flaherty,
6,180430701,42.4947,-70.7501,,2017-05-16T18:02:00Z,,,,GLOBALSTAR,Irina,NHLP,NHLP,,,,,1353591,1,1,,2017-05-25T14:08:00Z,,,Pagano,
7,193420701,42.5858,-69.8743,,2018-03-30T22:15:00Z,,,,GLOBALSTAR,Irina,MA,MA,,,,,1329326,1,1,,2018-12-31T16:03:00Z,,,Greenwood,
8,193420702,41.2516,-61.5882,,2019-03-30T18:20:00Z,,,,GLOBALSTAR,Irina,MA,MA,,,,,1328941,1,1,,2019-10-27T11:23:00Z,,,Greenwood,
9,196410721,41.3166,-72.0605,,2019-06-06T15:15:00Z,,,,GLOBALSTAR,Irina,WHS,WHS,,,,,373510,1,1,,2019-06-27T18:38:00Z,,,OConner,RV_Neil_Armstrong
10,193410691,29.7787,-88.3389,,2019-04-12T00:57:00Z,,,,GLOBALSTAR,Irina,PRIN,PRIN,,,,,1375997,1,1,,2019-05-29T02:17:00Z,,,Farson,RV_Jim_Franks
11,193410693,29.7791,-88.3392,,2019-04-12T01:07:00Z,,,,GLOBALSTAR,Irina,PRIN,PRIN,,,,,1374547,1,1,,2019-05-27T00:22:00Z,,,Farson,RV_Jim_Franks
12,196410711,38.0267,-74.506,,2019-06-05T20:54:00Z,,,,GLOBALSTAR,Irina,FAMA,FAMA,,,,,3329709,1,1,,2019-08-26T03:26:00Z,,,Milliken,FV_Karen_Elizabeth
13,196440671,44.8868,-66.0141,,2019-06-16T07:38:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1367258,1,1,,2019-07-07T21:15:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
14,196440672,44.7054,-66.4037,,2019-06-16T07:57:00Z,,,,GLOBALSTAR,Irina,ECOHAB,ECOHAB,,,,,1377555,1,1,,2019-07-10T18:21:00Z,,,McGillicuddy,Grand_Manan_Adventure_Ferry
